PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,label
10.438670924426397,11.026593315491874,-9.116490644010877,1.8458844335191282,-6.850179103647834,-5.080403946904956,-7.194499159015332,2.178895656608822,2.0756739855669575,0.24648732586263392,normal
10.035820775126824,-3.1279669712767597,-1.357298880243513,-0.9327851479010151,0.5763871616477187,-0.18239382131762458,-4.892441422636179,-3.0488665225243863,-1.1819540992996267,-2.510663687518858,normal
-5.060280638014694,-2.8798872500047787,11.43080812073207,-4.855087394289215,-5.667630052559891,-3.8133340598181147,-3.4440049338699787,0.2218904125622979,-1.271759581192455,-0.40907666597706704,normal
-8.525790823375921,16.69831818658799,14.47399932340867,-1.2187708689315517,8.197942785281116,14.201780557807744,2.2634904161744753,0.028904154491585596,-1.8870113127036627,0.11421556546773087,normal
-2.704938673134268,-8.865777298103595,-1.8997553971934924,0.0871205114990258,-0.3893980008453086,-0.9876442168552575,2.4043229683694523,-8.486978122681673,15.040552708137742,-2.382747020551386,normal
-1.6133200353739594,10.070726933722554,-0.0313685191787066,0.36974675050929634,19.22034491436484,1.3645776315346445,3.66952879221701,2.9125349786814536,0.07188156027655587,-0.31698030023034457,normal
3.5299310270706807,-2.6619818145604746,-0.21882933485396053,1.7902218016486955,-5.549596173929525,14.964893412419231,1.0098310437835296,-1.7295833605953934,-2.4198885793014324,-2.4180398264979304,normal
-4.646339207986169,-10.526466994171619,-4.459031093789227,-2.028060672441759,0.9115373318213011,-0.9722633650126512,-1.3792107948470858,1.5750861625832075,-1.1867097840837615,-0.3006138246747941,abnormal
-8.118735750417374,-5.2674621362658245,11.542826669405253,-4.1664635089258,-5.234895545535517,-2.814625893496934,2.35345565736201,-4.296305407419454,16.023710349471216,-0.2520861859748745,normal
5.795348286258326,6.408999410863385,2.2837492862388276,8.18714480054324,12.7352532076264,1.0720841014791516,-13.404017965043899,1.8908069913653793,2.115293243846315,-0.8527945064008435,normal
-1.2437161292306471,0.25485113320146896,-3.4820392675832035,-9.248043979680363,7.5875679521826065,-0.7080846221789747,9.962084338507031,1.0106976726989538,-0.8972635744018403,0.7051651296383822,normal
-1.1692831639575039,-7.4773507580603225,-3.0894518138723357,-0.3698027971571698,0.09831130546356863,-1.2579783331882861,0.8610873773865676,-0.5668229850568675,0.35250364915797405,-0.4270350529202214,normal
-1.9201389421799717,-8.435347934056363,-3.3086496430514827,-1.5192840392573705,0.9545713347490217,-0.5322792966274618,0.276308791126988,-0.8384745274046809,-1.2111880273837452,0.8814937940208903,normal
4.197537171020012,-8.934337246841743,-1.4122988189922596,0.511725942815621,0.1655900130657554,-1.3854907469571855,4.344900467647486,-0.9081991229167441,-0.9669677572948633,4.907147498798985,abnormal
